event_id,matched_to_event_id,market,index_name,event_ticker,security_name,event_phase,event_type,inclusion,treatment_group,batch_id,announce_date,effective_date,event_date,sector,car_p0_p5,car_p0_p20,car_p0_p60,car_p0_p120,pre_event_return,log_mkt_cap,turnover_change,volume_change,volatility_change
US-s-p500-evhc-20161129-20161202-add-01,,US,S&P500,EVHC,Envision Healthcare,effective,addition,1,1,sp500-20161202,2016-11-29,2016-12-02,2016-12-02,,0.027286070285227403,-0.09458561251236658,-0.09798718487994983,-0.286003533224382,0.0456860478877279,,,-0.8745133339515423,0.0029495641160804664
US-s-p500-evhc-20181004-20181011-del-02,,US,S&P500,EVHC,Envision Healthcare,announce,deletion,0,1,sp500-20181011,2018-10-04,2018-10-11,2018-10-04,,0.0498983715393079,0.0498983715393079,0.0498983715393079,0.0498983715393079,0.013686510868139434,,,0.6279618605448185,-0.0007412723393495767
US-s-p500-evhc-20181004-20181011-del-02,,US,S&P500,EVHC,Envision Healthcare,effective,deletion,0,1,sp500-20181011,2018-10-04,2018-10-11,2018-10-11,,,,,,0.009438110013487933,,,,
US-s-p500-evrg-20180531-20180605-add-01,,US,S&P500,EVRG,Evergy,announce,addition,1,1,sp500-20180605,2018-05-31,2018-06-05,2018-05-31,Utilities,-0.10952933913508779,-0.01917289557027419,-0.04400415449949088,0.07012327908564171,0.06289100631617073,23.299570718553333,0.04421251250336072,2.445347274667144,0.006209503498738065
US-s-p500-evrg-20180531-20180605-add-01,,US,S&P500,EVRG,Evergy,effective,addition,1,1,sp500-20180605,2018-05-31,2018-06-05,2018-06-05,Utilities,-0.046566680406132405,0.05961317474737041,0.007185576876392604,0.13564566356595711,-0.007347764759069952,23.24480197296095,-0.039387738140465915,-1.4472812608480918,-0.00030475064928458043
US-s-p500-ew-20110325-20110331-add-01,,US,S&P500,EW,Edwards Lifesciences,announce,addition,1,1,sp500-20110331,2011-03-25,2011-03-31,2011-03-25,Health Care,-0.008712215988284101,-0.03581416899747491,0.0005999901185922973,-0.02272653011744322,0.009694869108376025,22.826857518573373,0.04689423410906564,1.9317004834706992,0.003874047353414088
US-s-p500-ew-20110325-20110331-add-01,,US,S&P500,EW,Edwards Lifesciences,effective,addition,1,1,sp500-20110331,2011-03-25,2011-03-31,2011-03-31,Health Care,-0.06331904761614031,-0.0422611473451264,0.010356595102069401,-0.000532677127058314,-0.008681973929689946,22.855938734489147,0.04772330670371659,1.4508185260098685,-0.0012320688322969928
US-s-p500-exe-20250307-20250324-add-01,,US,S&P500,EXE,Expand Energy,announce,addition,1,1,sp500-20250324,2025-03-07,2025-03-24,2025-03-07,Energy,0.08735012505853529,0.17009291653969022,0.17896745420804624,-0.07583823797516588,-0.08421352766921297,23.859776228425215,-0.0018523267651552947,-0.10712522112083533,-0.015628679899370754
US-s-p500-exe-20250307-20250324-add-01,,US,S&P500,EXE,Expand Energy,effective,addition,1,1,sp500-20250324,2025-03-07,2025-03-24,2025-03-24,Energy,0.0459892456921853,0.027546908311845815,0.0714684541090711,-0.23814978617231464,0.0368403985834902,23.969025689066434,-0.04697150885844876,-1.3584690681539122,-0.00877361481380823
US-s-p500-exr-20160115-20160119-add-01,,US,S&P500,EXR,Extra Space Storage,announce,addition,1,1,sp500-20160119,2016-01-15,2016-01-19,2016-01-15,Real Estate,0.02911755810808611,-0.03177458971741008,-0.017752497159407903,-0.008984366888867395,0.0025287090904686504,23.637038267319276,0.016384777038634973,1.1446380889446086,0.012991140583284206
US-s-p500-exr-20160115-20160119-add-01,,US,S&P500,EXR,Extra Space Storage,effective,addition,1,1,sp500-20160119,2016-01-15,2016-01-19,2016-01-19,Real Estate,0.039666217974302115,-0.03271041583293439,-0.0502549209566142,-0.015843999422116183,-0.029882793844218658,23.62330064935296,-0.02170748374102315,-1.4054508877791427,0.01426773167530699
US-s-p500-fang-20181126-20181203-add-01,,US,S&P500,FANG,Diamondback Energy,announce,addition,1,1,sp500-20181203,2018-11-26,2018-12-03,2018-11-26,Energy,0.009814568957839699,-0.060071803121698464,-0.04305666530080206,0.024660216397457232,-0.0809088654909893,24.107796355429194,0.028356770731198935,1.719873316581097,-0.0073717970818217605
US-s-p500-fang-20181126-20181203-add-01,,US,S&P500,FANG,Diamondback Energy,effective,addition,1,1,sp500-20181203,2018-11-26,2018-12-03,2018-12-03,Energy,-0.050530794528630005,-0.012049032894668375,-0.05189313908509505,-0.0634194389102553,-0.04284932157325683,24.158908475289987,-0.022681864199259646,-0.9543237186013709,0.007172049743744604
US-s-p500-fb-20131211-20131223-add-01,,US,S&P500,FB,Facebook,announce,addition,1,1,sp500-20131223,2013-12-11,2013-12-23,2013-12-11,,,,,,0.0,,,,
US-s-p500-fb-20131211-20131223-add-01,,US,S&P500,FB,Facebook,effective,addition,1,1,sp500-20131223,2013-12-11,2013-12-23,2013-12-23,,,,,,0.0,,,,
