event_id,market,ticker,announce_date,effective_date,sector,batch_id,gap_length_days,pre_announce_runup,announce_jump,gap_drift,effective_jump,post_effective_reversal
US-s-p500-apo-20241206-20241223-add-01,US,APO,2024-12-06,2024-12-23,Financials,sp500-20241223,17,0.052510988894641494,-0.006944591988526504,-0.0127161496849937,0.0013235161794546,-0.023210575712683385
US-s-p500-app-20250905-20250922-add-01,US,APP,2025-09-05,2025-09-22,Information Technology,sp500-20250922,17,0.23736746939353612,0.1150082311444044,0.244058137788729,0.043929709695528,-0.1302732979707028
US-s-p500-are-20170310-20170320-add-01,US,ARE,2017-03-10,2017-03-20,Real Estate,sp500-20170320,10,-0.037014729753094305,-0.062070960841367796,0.038990291115407,0.023290506415049803,0.0496271540381899
US-s-p500-ares-20251210-20251211-add-01,US,ARES,2025-12-10,2025-12-11,Financials,sp500-20251211,1,0.1421140767827563,0.0686330206193868,-0.0068067731019522,-0.011739810340162499,-0.008973081604305481
US-s-p500-arnc-20161101-20161101-add-01,US,ARNC,2016-11-01,2016-11-01,,sp500-20161101,0,0.0,0.0,0.0,0.0,0.0
US-s-p500-ato-20190208-20190215-add-01,US,ATO,2019-02-08,2019-02-15,Utilities,sp500-20190215,7,0.0222853316192337,0.018327141276526807,-0.020832373663277004,-0.0023133510026131995,0.0336288987494285
US-s-p500-atvi-20150827-20150828-add-01,US,ATVI,2015-08-27,2015-08-28,,sp500-20150828,1,0.0,0.0,0.0,0.0,0.0
US-s-p500-avgo-20140505-20140508-add-01,US,AVGO,2014-05-05,2014-05-08,Information Technology,sp500-20140508,3,0.0148511397844832,0.0685338027834515,-0.0134872858821523,-0.004517060437910701,0.0245756734617389
US-s-p500-awk-20160301-20160304-add-01,US,AWK,2016-03-01,2016-03-04,Utilities,sp500-20160304,3,0.009116030983169893,0.0407032376846989,-0.0160060540942401,-0.028447629061071802,0.0023810954328986906
US-s-p500-axon-20230501-20230504-add-01,US,AXON,2023-05-01,2023-05-04,Industrials,sp500-20230504,3,-0.060047545463314506,0.02590760241055,0.009995324674369,-0.0056224322796806,-0.147933141334474
US-s-p500-ayi-20160426-20160503-add-01,US,AYI,2016-04-26,2016-05-03,,sp500-20160503,7,0.1453003341954591,-0.006836243139955102,-0.0285026653181187,-0.00014863319829040017,0.029823094222294
US-s-p500-bg-20230313-20230315-add-01,US,BG,2023-03-13,2023-03-15,Consumer Staples,sp500-20230315,2,0.025205746101398294,0.1068759739913418,-0.0678615431232323,0.0421409412221312,-0.07891641099173281
US-s-p500-bhf-20170731-20170808-add-01,US,BHF,2017-07-31,2017-08-08,,sp500-20170808,8,-0.0449077298568443,-0.026207601550257996,-0.1498010170793105,-0.12426534385552838,-0.05730063667589531
US-s-p500-bio-20200612-20200622-add-01,US,BIO,2020-06-12,2020-06-22,,sp500-20200622,10,-0.0970113600545293,0.0076396219402805,-0.042434057095163104,-0.010335786281121199,0.1022004051870375
US-s-p500-bkr-20170630-20170707-add-01,US,BKR,2017-06-30,2017-07-07,Energy,sp500-20170707,7,-0.0311534299523109,0.0817818941540683,-0.0683939157503951,0.001975274348095798,-0.0721037741366683
US-s-p500-bldr-20231201-20231218-add-01,US,BLDR,2023-12-01,2023-12-18,Industrials,sp500-20231218,17,0.0649301344647723,0.011143584766120597,0.17171724561131196,-0.0313509647559996,0.005201110172568394
US-s-p500-blk-20110329-20110401-add-01,US,BLK,2011-03-29,2011-04-01,Financials,sp500-20110401,3,-0.062159305581743214,0.0459046097268109,0.0127428306301913,0.0073855126855090995,-0.0480508071274357
