market,event_phase,inclusion,window,window_slug,sample_filter,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value,se_car_clustered,p_value_clustered
CN,announce,1,"[-3,+3]",m3_p3,winsorized_1pct,137,0.015745918832116807,0.05634384447271689,0.004813779499046787,0.006310911013985104,0.02518092665024851,3.2710095747498977,0.0013580459027362599,0.0077734928356856196,0.0428066920806078
CN,announce,1,"[-1,+1]",m1_p1,winsorized_1pct,137,0.02104668613138686,0.0360016916454572,0.003075832094805389,0.015018055225568299,0.027075317037205424,6.842599167533073,2.4227030590283207e-10,0.003933877504017603,8.789970535775155e-08
CN,effective,0,"[-5,+5]",m5_p5,winsorized_1pct,137,-0.0008987138686130755,0.06797376180495616,0.0058073903921879375,-0.012281199037301434,0.010483771300075282,-0.15475347926015434,0.8772450971680341,0.00796335730073312,0.9101445991360639
CN,effective,0,"[-3,+3]",m3_p3,winsorized_1pct,137,0.00286889372262779,0.061650700108629664,0.005267174774140729,-0.00745476883468804,0.01319255627994362,0.5446741081599694,0.5868696816942696,0.007905361147986852,0.7166759805312137
CN,effective,0,"[-1,+1]",m1_p1,winsorized_1pct,137,-0.0025654563503649595,0.036788059004755846,0.00314301599232492,-0.008725767695321802,0.003594854994591884,-0.8162403107810043,0.4157900860913359,0.0048619802349598095,0.5977376452446412
CN,effective,1,"[-5,+5]",m5_p5,winsorized_1pct,137,0.006962223941605895,0.07495389360494828,0.006403743297707491,-0.005589112921900788,0.019513560805112577,1.0872115913981653,0.27886641125938805,0.0074461128580594355,0.3497807956718114
CN,effective,1,"[-3,+3]",m3_p3,winsorized_1pct,137,-0.007390731094890458,0.061697176527874084,0.005271145522609202,-0.017722176319204495,0.0029407141294235783,-1.4021109952646624,0.16316045044794353,0.009753109500556367,0.4485814831847341
CN,effective,1,"[-1,+1]",m1_p1,winsorized_1pct,137,0.004762044963503636,0.044145662038601305,0.003771618441765514,-0.002630327182356771,0.012154417109364043,1.262599872450114,0.208893656224001,0.005599294897395764,0.3950625788748984
US,announce,0,"[-5,+5]",m5_p5,winsorized_1pct,116,-0.00487388001729864,0.08717323357777074,0.008093831544605636,-0.020737789844725685,0.010990029810128407,-0.6021721591854695,0.548245000816018,0.008796990725230693,0.5795518385512093
US,announce,0,"[-3,+3]",m3_p3,winsorized_1pct,116,-0.004104304629387501,0.07343156147238182,0.006817949320241458,-0.01746748529706076,0.009258876038285756,-0.6019852064905269,0.5483690096084106,0.00781156468901256,0.599295496245766
US,announce,0,"[-1,+1]",m1_p1,winsorized_1pct,116,0.0037132620898104826,0.06503515959954821,0.006038362977618323,-0.008121929346321432,0.015548453525942396,0.6149451603976088,0.5398058450317054,0.006912296058992798,0.5911318047135301
