market,inclusion,event_phase,announce_year,n_events,mean_car_m1_p1,mean_car_m3_p3,mean_car_m5_p5,se_car_m1_p1,ci_low_95_car_m1_p1,ci_high_95_car_m1_p1,se_car_m3_p3,ci_low_95_car_m3_p3,ci_high_95_car_m3_p3,se_car_m5_p5,ci_low_95_car_m5_p5,ci_high_95_car_m5_p5
US,0,effective,2017,29,-0.010832748700870351,-0.007193529895543924,-0.008492149424525516,0.008413123546859944,-0.02732247085271584,0.005656973450975138,0.009615376339312663,-0.026039667520596745,0.011652607729508897,0.010868112713524853,-0.029793650343034227,0.012809351493983195
US,0,effective,2018,23,-0.007278920659395899,-0.01996839359221275,-0.025163147066809777,0.009625296425148823,-0.026144501652687592,0.011586660333895792,0.01093724329497317,-0.041405390450360166,0.0014686032659346655,0.014352371631183691,-0.053293795463929816,0.002967501330310259
US,0,effective,2019,23,-0.012558308870030899,0.060532927608122504,-0.005787949686294543,0.009909495442743254,-0.031980919937807675,0.006864302197745878,0.04000035034625935,-0.017867759070545823,0.13893361428679082,0.011189990527541013,-0.027720331120274926,0.01614443174768584
US,0,effective,2020,15,-0.021197668850011397,-0.019264195899640457,-0.019462527390195127,0.01873113376307358,-0.05791069102563561,0.015515353325612817,0.015978113003265192,-0.05058129738604023,0.012052905586759317,0.032619909609576864,-0.08339755022496578,0.04447249544457552
US,0,effective,2021,17,-0.03783764962358524,-0.04502377309146075,-0.04799505229720028,0.008860148063568237,-0.05520353982817899,-0.020471759418991493,0.008695023690155998,-0.06206601952416651,-0.027981526658754995,0.01353645718682615,-0.07452650838337954,-0.02146359621102103
US,0,effective,2022,15,0.020545393677103875,-0.03865695794704272,-0.08853438144801923,0.015015108450990734,-0.008884218886837963,0.049975006241045714,0.014064084675932103,-0.06622256391186965,-0.011091351982215801,0.016331493104350406,-0.12054410793254602,-0.05652465496349243
US,0,effective,2023,13,0.005723753335829424,0.033722805030003036,0.006685155965611526,0.009591575691148945,-0.013075735018822508,0.024523241690481357,0.027555694592501005,-0.020286356371298934,0.08773196643130501,0.027962382436706817,-0.04812111361033383,0.061491425541556885
US,0,effective,2024,13,0.0062296932625204495,0.00038138942018903807,-0.011144814438486337,0.0075477960036938315,-0.00856398690471946,0.021023373429760357,0.0053603901716264045,-0.010124975316198716,0.010887754156576791,0.008114227857340702,-0.027048701038874114,0.00475907216190144
US,0,effective,2025,17,-0.013351954289996141,-0.01335894294074196,-0.005615543293604099,0.004377520992527196,-0.021931895435349444,-0.004772013144642836,0.004370226728409909,-0.021924587328425383,-0.004793298553058538,0.010980170354875914,-0.027136677189160893,0.015905590601952693
US,1,announce,2010,12,0.013957695014083218,-0.0034683058765585667,-0.04046439955879279,0.011544350739214419,-0.008669232434777041,0.03658462246294348,0.008823377240512693,-0.020762125267963446,0.013825513514846312,0.01587865899399695,-0.07158657118702681,-0.009342227930558764
US,1,announce,2011,17,0.014519194178852626,-0.006630793893375126,-0.011295065437399264,0.010612457149740418,-0.006281221834638594,0.03531961019234385,0.01923835971541889,-0.04433797893559615,0.031076391148845896,0.021430895327607523,-0.053299620279510004,0.03070948940471148
US,1,announce,2012,19,0.009124467715758533,0.011512259248822806,-0.008579411885482073,0.00722694583333574,-0.005040346117579517,0.023289281549096583,0.008982817619662357,-0.006094063285715413,0.029118581783361026,0.0125001028730533,-0.033079613516666544,0.015920789745702393
US,1,announce,2013,18,0.01927482123687103,0.005936697611525099,0.0192333650790357,0.009528193518202268,0.000599561941194586,0.037950080532547475,0.01265418890161375,-0.01886551263563785,0.030738907858688047,0.015221498293871379,-0.0106007715769522,0.0490675017350236
US,1,announce,2014,16,0.022022542239891342,0.00553470384408511,0.0008835753001629313,0.00838403506570674,0.005589833511106132,0.03845525096867655,0.013633533382955757,-0.021187021586508176,0.032256429274678394,0.015194358209722984,-0.02889736679089412,0.03066451739121998
US,1,announce,2015,29,0.012833824219241136,0.011540004825136571,0.0141768189068813,0.007057974532102268,-0.0009998058636793098,0.02666745430216158,0.0119573643979477,-0.011896429394840922,0.03497643904511406,0.011432630996776364,-0.008231137846800372,0.03658477566056297
US,1,announce,2016,29,0.008796776591967263,0.005052975828590491,0.003163327999584241,0.005305704751421032,-0.0016024047208179591,0.019195957904752484,0.007511261039352922,-0.009669095808541237,0.019775047465722218,0.007077119251062067,-0.01070782573249741,0.01703448173166589
US,1,announce,2017,29,0.01053998470019455,0.0008951703206933459,-0.005170215786746883,0.007773855902219895,-0.004696772868156443,0.025776742268545545,0.008891590182493735,-0.01653234643699437,0.018322687078381066,0.00854941689369816,-0.021927072898395274,0.01158664132490151
US,1,announce,2018,23,-0.02105348067236692,-0.01967423942021239,-0.013244984552664013,0.010010343438261328,-0.040673753811359126,-0.0014332075333747148,0.011118028549556569,-0.04146557537734326,0.0021170965369184842,0.016976069295366162,-0.04651808037158169,0.020028111266253666
US,1,announce,2019,23,-0.0009159150312288781,-0.0021849674504469006,0.010333787538978494,0.009456907064145427,-0.019451452876953913,0.01761962281449616,0.008810701603756093,-0.019453942593808844,0.015084007692915041,0.011781626382816284,-0.012758200171341421,0.033425775249298406
US,1,announce,2020,18,0.013470944314118017,0.02988623232429244,0.009805141546197273,0.012770230744915486,-0.011558707945916335,0.03850059657415237,0.025598019239608933,-0.020285885385341068,0.08005835003392595,0.034829137093824875,-0.05845996715769948,0.07807025025009402
US,1,announce,2021,18,0.03810959868609983,0.03257521356001068,0.02953897858030072,0.018355547583489864,0.002132725422459701,0.07408647194973997,0.027158953476808998,-0.020656335254534954,0.08580676237455631,0.0312057054557896,-0.031624204113046894,0.09070216127364834
US,1,announce,2022,18,0.025924237166987583,0.016462065059270076,0.04571040796977896,0.014911728237066489,-0.0033027501776627353,0.0551512245116379,0.018903920882345587,-0.020589619870127276,0.053513749988667425,0.017955641585385707,0.010517350462422977,0.08090346547713495
US,1,announce,2023,14,0.03272909966354412,0.0177765607853574,0.02276478532508608,0.012582536821922969,0.008067327492575101,0.057390871834513135,0.016814686489977797,-0.015180224734999082,0.05073334630571388,0.018173351009962164,-0.01285498265443976,0.05838455330461192
US,1,announce,2024,16,0.0449398441625674,0.044381367198808204,0.04859153029394697,0.025112155987779498,-0.004279981573480418,0.09415966989861521,0.02914566552922394,-0.012744137238470718,0.10150687163608713,0.02674037765943351,-0.0038196099185427088,0.10100267050643666
US,1,announce,2025,19,0.055843770506787654,0.060320842922550445,0.040870157340605916,0.016689376199814934,0.023132593155150385,0.08855494785842492,0.020158623786157633,0.020809940301681484,0.0998317455434194,0.02856761317290194,-0.015122364478281886,0.09686267915949372
US,1,effective,2010,12,-0.012281863033413868,0.007517011905612485,-0.0374284962562898,0.006542283161239869,-0.02510473802944401,0.0005410119626162758,0.01148503395774836,-0.0149936546515743,0.03002767846279927,0.01598562907311443,-0.06876032923959408,-0.006096663272985518
US,1,effective,2011,17,0.006855970295629818,-0.018079772227221937,-0.03740575750138701,0.012473706405119904,-0.017592494258405193,0.03130443484966483,0.016697309762442106,-0.05080649936160846,0.01464695490716459,0.023949031388548515,-0.0843458590229421,0.009534344020168076
US,1,effective,2012,19,-0.0028626397410954465,-0.0022093581114290915,-0.009252405486714386,0.006544762459107705,-0.015690374160946548,0.009965094678755657,0.008883229534822642,-0.01962048799968147,0.015201771776823287,0.012089816895644864,-0.03294844660217831,0.014443635628749545
US,1,effective,2013,18,0.011152710400402091,0.01885270086791516,0.013881771690774126,0.010725968136059966,-0.00987018714627544,0.032175607947079625,0.0173233390578281,-0.015101043685427914,0.05280644542125823,0.01713960409091472,-0.019711852327418726,0.04747539570896698
US,1,effective,2014,16,-0.00699216989098429,0.002944120687421131,0.0023262068675612303,0.0062490495342398126,-0.019240306978094323,0.005255967196125742,0.010745103761770576,-0.018116282685649198,0.024004524060491462,0.015791043031891563,-0.028624237474946232,0.033276651210068696
US,1,effective,2015,29,0.003839970916771379,-0.001998932877513774,0.011184272213000465,0.006928094808555569,-0.009739094907997535,0.017419036741540293,0.01061947634585327,-0.022813106515386185,0.018815240760358634,0.013389050929161116,-0.015058267608155323,0.03742681203415625
US,1,effective,2016,29,-0.010315354990569726,-0.003174638593313528,0.0031199692291083996,0.004402741657800324,-0.01894472863985836,-0.0016859813412810915,0.005739341731335675,-0.014423748386731453,0.008074471200104395,0.006022158290339173,-0.00868346101995638,0.014923399478173179
US,1,effective,2017,29,-0.006972156717562767,-0.007505017431009723,-0.01602651633561478,0.00637447903785158,-0.019466135631751865,0.00552182219662633,0.008319187576944255,-0.023810625081820462,0.008800590219801015,0.009956930309339031,-0.035542099741919284,0.00348906707068972
US,1,effective,2018,23,-0.0038708151674217797,-0.009048042165498841,-0.028236047617593876,0.006877347123710292,-0.017350415529893953,0.009608785195050392,0.010907028168826705,-0.030425817376399183,0.0123297330454015,0.010268642749832508,-0.048362587407265595,-0.00810950782792216
US,1,effective,2019,23,0.0058797421038541,0.021190918465943964,0.002809418792260117,0.009509188602513359,-0.012758267557072083,0.02451775176478028,0.011318446203597678,-0.000993236093107485,0.04337507302499541,0.013955062967660142,-0.024542504624353763,0.030161342208873995
US,1,effective,2020,18,-0.004248094771627464,-0.024944990941028155,-0.0017904173473675747,0.018793902480035967,-0.04108414363249796,0.03258795408924303,0.026991302655370246,-0.07784794414555384,0.02795796226349753,0.028871896445478048,-0.05837933438050455,0.0547984996857694
US,1,effective,2021,18,-0.012811566059435063,-0.022141236717212617,-0.015008371147894292,0.006995798636369106,-0.02652333138671851,0.0009001992678483849,0.0223990191918479,-0.0660433143332345,0.021760840898809267,0.03650219854062469,-0.08655268028751868,0.0565359379917301
US,1,effective,2022,18,0.030342257874664453,0.012453016664858214,0.021579470078298447,0.012668137086224244,0.005512709185664936,0.055171806563663967,0.020267705241335678,-0.027271685608159714,0.05217771893787614,0.01893425619963549,-0.015531672072987113,0.05869061222958401
US,1,effective,2023,14,-0.007980046031875417,0.01836581565523902,0.014272935871736229,0.007305997218654796,-0.022299800580438817,0.0063397085166879835,0.017210572458174776,-0.015366906362783542,0.052098537673261586,0.018603274248973935,-0.022189481656252685,0.05073535339972514
US,1,effective,2024,16,-0.0162593342801319,-0.024457418717501195,-0.013335259471535126,0.01727237698342476,-0.050113193167644426,0.01759452460738063,0.01814200623642338,-0.060015750940891024,0.01110091350588863,0.019383885147859662,-0.051327674361340066,0.024657155418269815
US,1,effective,2025,19,-0.0026191362450841897,0.020669570465964224,0.04767058783832665,0.011168488299971403,-0.02450937331302814,0.01927110082285976,0.011665881214098112,-0.002195556713668074,0.04353469764559652,0.022206599292248257,0.004145653225520067,0.09119552245113324
