market,index_name,ticker,announce_date,effective_date,batch_id,security_name,event_type,inclusion,source,source_url,note,sector
CN,CSI300,601966,2021-11-26,2021-12-10,csi300-2021-11,玲珑轮胎,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,603260,2021-11-26,2021-12-10,csi300-2021-11,合盛硅业,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,603486,2021-11-26,2021-12-10,csi300-2021-11,科沃斯,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,605499,2021-11-26,2021-12-10,csi300-2021-11,东鹏饮料,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,688561,2021-11-26,2021-12-10,csi300-2021-11,奇安信-U,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,688599,2021-11-26,2021-12-10,csi300-2021-11,天合光能,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,688981,2021-11-26,2021-12-10,csi300-2021-11,中芯国际,addition,1,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202111/t20211127_3911236.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,000783,2022-05-27,2022-06-10,csi300-2022-05,长江证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002024,2022-05-27,2022-06-10,csi300-2022-05,ST易购,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002044,2022-05-27,2022-06-10,csi300-2022-05,美年健康,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002157,2022-05-27,2022-06-10,csi300-2022-05,正邦科技,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,002624,2022-05-27,2022-06-10,csi300-2022-05,完美世界,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300144,2022-05-27,2022-06-10,csi300-2022-05,宋城演艺,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300558,2022-05-27,2022-06-10,csi300-2022-05,贝达药业,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300676,2022-05-27,2022-06-10,csi300-2022-05,华大基因,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300677,2022-05-27,2022-06-10,csi300-2022-05,英科医疗,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,300888,2022-05-27,2022-06-10,csi300-2022-05,稳健医疗,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600079,2022-05-27,2022-06-10,csi300-2022-05,人福医药,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600109,2022-05-27,2022-06-10,csi300-2022-05,国金证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600143,2022-05-27,2022-06-10,csi300-2022-05,金发科技,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600848,2022-05-27,2022-06-10,csi300-2022-05,上海临港,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,600872,2022-05-27,2022-06-10,csi300-2022-05,中炬高新,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601108,2022-05-27,2022-06-10,csi300-2022-05,财通证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601162,2022-05-27,2022-06-10,csi300-2022-05,天风证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601231,2022-05-27,2022-06-10,csi300-2022-05,环旭电子,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601607,2022-05-27,2022-06-10,csi300-2022-05,上海医药,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601696,2022-05-27,2022-06-10,csi300-2022-05,中银证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601933,2022-05-27,2022-06-10,csi300-2022-05,永辉超市,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,601990,2022-05-27,2022-06-10,csi300-2022-05,南京证券,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,603233,2022-05-27,2022-06-10,csi300-2022-05,大参林,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,603338,2022-05-27,2022-06-10,csi300-2022-05,浙江鼎力,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,603517,2022-05-27,2022-06-10,csi300-2022-05,绝味食品,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
CN,CSI300,603658,2022-05-27,2022-06-10,csi300-2022-05,安图生物,deletion,0,CSIndex adjustment attachment manual transcription,https://news.stcn.com/sd/202205/t20220528_4593433.html,Transcribed from public news reproduction of official CSIndex attachment,
