batch_id,announce_date,effective_date,ticker,security_name,inclusion,reconstructed_running_variable,cutoff,distance_to_cutoff,boundary_side,reference_warning
2024-11-29,2024-11-29,2024-12-13,300454,深信服,0,291,300,-9,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,000800,一汽解放,1,309,300,9,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002841,视源股份,0,290,300,-10,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300919,中伟股份,0,310,300,10,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300661,圣邦股份,1,311,300,11,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,000733,振华科技,0,289,300,-11,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002074,国轩高科,1,312,300,12,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300496,中科创达,0,288,300,-12,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002601,龙佰集团,1,313,300,13,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300142,沃森生物,0,287,300,-13,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002410,广联达,0,286,300,-14,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,600161,天坛生物,1,314,300,14,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300957,贝泰妮,0,285,300,-15,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,688599,天合光能,1,300,300,0,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,002180,纳思达,1,299,300,-1,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
